Siglas e Definições 323
Sigla	Definição	Ref.	Data	Ações
Inovação tecnológica	Introdução de novidade ou aperfeiçoamento no ambiente produtivo e/ou social que resulte em novos processos, produtos ou serviços, bem como em ganho de qualidade ou produtividade em processos, produtos ou serviços já existentes, visando ampliar a competitividade no mercado, bem como a melhoria das condições de vida da maioria da população, e a sustentabilidade socioambiental.	D.O. Resolução SAA 12 de 10-3-2016	17/04/2025	   
Inspeção	Determinação da conformidade a requisitos especificados	ABNT NBR ISO 9000:2015	17/04/2025	   
INSS	Instituto Nacional de Seguro Social	www.previdencia.gov.br	17/04/2025	   
Insumo	Produto utilizado em um processo, exceto amostra.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Investimento	Recursos financeiros necessários para aquisição de equipamentos, veículos, livros e periódicos, reformas e obras, provenientes de todas as fontes: orçamentário (Gesp e FED), Fundepag, Agências de Fomento (Fapesp, Finep, CNPq etc.).	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
IQF	Índice Médio de Qualidade de Fornecimento: representa a média das avaliações dos 10 (dez) últimos fornecimentos ou menos (em casos de poucos fornecimentos) de um determinado fornecedor, após as ponderações dos itens de satisfação considerados na avaliação.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
ISBN	International Standard Book Number.	http://www.isbn.bn.br/website/	17/04/2025	   
ISSN	International Standard Serial Number	http://www.ibict.br/informacao-para-ciencia-tecnologia-e-inovacao%20/centro-brasileiro-do-issn	17/04/2025	   
ISSQN	Imposto sobre Serviços de Qualquer Natureza	http://www.campinas.sp.gov.br/governo/financas/issqn/	17/04/2025	   
IT	Instrução de Trabalho: é um procedimento com descrição mais detalhada da atividade ou processo a ser executado.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Ital	Instituto de Tecnologia de Alimentos	Decreto nº 52.167 de 1969	17/04/2025	   
IU	Instrução de Uso: documento simples de orientação do passo-a-passo de uso de um equipamento, incluindo os cuidados pertinentes. Em muitos casos ela já está contida no MO.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Jucerja	Junta Comercial do Estado do Rio de Janeiro	https://www.jucerja.rj.gov.br/	17/04/2025	   
Jucesp	Junta Comercial do Estado de São Paulo	https://www.jucesponline.sp.gov.br/	17/04/2025	   
Luxímetro	Equipamento utilizado para medir a intensidade de iluminação em lux.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
MA	Método analítico: procedimento técnico especificado para realizar um ensaio.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Manutenção corretiva	serviço executado em equipamento que apresenta falha.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Manutenção preventiva	ação planejada com intervalo de tempo definido e efetuada com a intenção de reduzir a probabilidade de falha ou queda no desempenho do equipamento.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Mapa de riscos ambientais	Representação gráfica de um conjunto de fatores presentes nos locais de trabalho, capazes de acarretar prejuízos à saúde dos trabalhadores.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Material Permanente	Aquele que, em razão de seu uso corrente, não perde a sua identidade física, e/ou tem uma durabilidade superior a dois anos (exemplo: móveis, equipamentos, veículos, livros, periódicos etc.).	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Missão	Propósito da existência da organização, como expresso pela Alta Direção.	ABNT NBR ISO 9000:2015	17/04/2025	   
MO	Método de Operação de Equipamentos: documento referente aos métodos de operação dos equipamentos utilizados pela Unidade.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
MQ	Manual da Qualidade: especificação para o sistema de gestão da qualidade de uma organização. Estabelecido em atendimento à ABNT NBR ISO 9001 e ABNT NBR ISO 17025.	ABNT NBR ISO 9000:2015 com adaptação para o Sistema de Gestão da Qualidade do Ital.	17/04/2025	   
MS	Manual de Segurança do Trabalho: documento que especifica os requisitos de segurança para realizar atividades nas Unidades.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
MTE	Ministério do Trabalho e Emprego	http://trabalho.gov.br/	17/04/2025	   
MV	Matriz de versatilidade:matriz que relaciona o funcionário, as competências requeridas para o exercício de sua função e o nível de sua capacitação.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
NC	Não conformidade: não atendimento de um requisito.	ABNT NBR ISO 9000:2015 ABNT NBR ISO 19011:2018	17/04/2025	   
NCBI	Não Conformidade ou Melhoria de Baixo Impacto.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
NF	Nota fiscal	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
NI	Norma Interna: procedimento específico de uma Unidade.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
NIE	Sigla equivalente à Apoio Operacional. Será extinta conforme revisão dos documentos.	Decreto nº 66.417, de 30 de dezembro de 2021	17/04/2025	   
NIST	National Institute of Standards and Technology	https://www.nist.gov/	17/04/2025	   
NIT	Núcleo de Inovação Tecnológica do Ital: grupo responsável pela gestão da política institucional de inovação do Instituto.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Nota técnica	Documento elaborado por técnicos especializados em determinado assunto.	Definição estabelecida pela DG.	17/04/2025	   
NPOP	Núcleo de Pesquisa Orientada a Problemas	https://bv.fapesp.br/pt/699/nucleos-de-pesquisa-orientada-a-problemas-em-sao-paulo-npop-sp	17/04/2025	   
NR	Norma Regulamentadora do Ministério do Trabalho	www.mte.gov.br	17/04/2025	   
NTC	Núcleo de Treinamento e Capacitação. Anterior NQRH.	Decreto nº 66.417, de 30 de dezembro de 2021	17/04/2025	   
Objetivo da qualidade	Resultado a ser alcançado que diz respeito à qualidade.	ABNT NBR ISO 9000:2015	17/04/2025	   
Oportunidade de melhoria	Potencialidade de melhoria ou de não conformidade detectada.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Organograma linear de responsabilidades	Distribuição de autoridade e responsabilidade para os diferentes tipos de atividades.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Ouvidoria	É um canal de comunicação entre o cidadão e a administração pública com a finalidade de receber manifestações, denúncias, reclamações, sugestões e elogios e prestar informações às demandas recebidas.	https://www.ouvidoria.sp.gov.br/	17/04/2025	   
Palestra externa	Palestra organizada por empresa especializada fora do Ital.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Palestra interna	Palestra promovida pelo Ital ou pelas Unidades para o público interno. O palestrante pode ser do quadro de funcionários ou externo.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Parâmetros Críticos	Parâmetros críticos de um método de análise são os fatores ou condições que devem ser controlados para garantir a confiabilidade dos resultados analíticos. Esses parâmetros podem variar em função do método, do tipo de análise, da matriz analisada e de outros fatores. São exemplos de parâmetros críticos: temperatura, pH, tempo de reação, concentração de reagentes, agitação, equipamentos, condições ambientais entre outros. Os parâmetros críticos devem ser registrados para demonstrar que foram controlados e atenderam adequadamente ao que foi estabelecido. Se não atendidos, devem ser tomadas ações para garantir resultados confiáveis.	Estabelecido internamente pela Comissão de Gestão da Qualidade - Reunião de dezembro/2024.	17/04/2025	   
Parte interessada	Pessoa ou organização que pode afetar, ser afetada ou se perceber afetada por uma decisão ou atividade.	ABNT NBR ISO 9000:2015	17/04/2025	   
Passivos químicos	Reagentes fora do prazo de validade, inadequados para uso ou não utilizados nas atividades rotineiras dos laboratórios por um período extenso.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Patrimônio	Área pertencente ao Apoio Operacional (DG), responsável pela gestão do patrimônio.	Estabelecido internamente pela Diretoria Geral.	17/04/2025	   
PBIS	Plataforma Biotecnológica Integrada de Ingredientes Saudáveis	https://bv.fapesp.br/pt/auxilios/109129/pbis-plataforma-biotecnologica-integrada-de-ingredientes-saudaveis/	17/04/2025	   
PCD	Pessoa com deficiência	Lei n° 13.146, de 06 de julho de 2015.	17/04/2025	   
Pesquisador Visitante (A)	Pós-doutor formado e com vínculo empregatício com instituições públicas ou privadas, nacionais ou estrangeiras com ou sem bolsa, com atividade no Ital de interesse específico de PD&I. Exemplo: Pesquisador Visitante (Fapesp).	Estabelecido internamente pelo Conselho Técnico Científico.	03/02/2026	   
Pesquisador Visitante (B)	Jovem pesquisador da Fapesp ou bolsista de pós-doutorado, doutorado ou de mestrado ou bolsa de fomento de outra natureza orientado ou coorientado por um pesquisador do Ital e com vínculo em projetos e programas de pesquisa do Ital (liderança ou colaboração) Exemplo: Bolsistas de pós-doutorado de projetos interinstitucionais com agências de fomento, como PBIS, CCD e outros nesse formato (incluindo os que são com interveniência da FA).	Estabelecido internamente pelo Conselho Técnico Científico.	03/02/2026	   
Pesquisador Visitante (C)	Pós-graduado, aluno de mestrado ou de doutorado sem vínculo empregatício e orientado ou coorientado por pesquisador do Ital, com bolsa de pesquisa e/ou vínculo acadêmico com instituições externas para realização de atividade de interesse específico de PD&I. Exemplo: alunos/bolsistas de outras instituições que são coorientados por pesquisador do Ital (exceto bolsistas mencionados na categoria D).	Estabelecido internamente pelo Conselho Técnico Científico.	03/02/2026	   
Pesquisador Visitante (D)	Bolsista FA vinculados a contratos de projetos de inovação, Bolsista TT Fapesp, DTI – CNPq.	Estabelecido internamente pelo Conselho Técnico Científico.	03/02/2026	   
Pibic	Programa Institucional de Bolsas de Iniciação Científica do CNPq	http://www.cnpq.br/pibic	17/04/2025	   
Pibit	Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação do CNPq	http://www.cnpq.br/pibiti	17/04/2025	   
PITec	Plataforma de Inovação Tecnológica	https://ital.agricultura.sp.gov.br/pitec	17/04/2025	   
Plano de auditoria	Descrição das atividades e arranjos para uma auditoria.	ABNT NBR ISO 9000:2015 ABNT NBR ISO 19011:2018	17/04/2025	   
Plano de treinamento	Plano elaborado pelas Unidades para treinamento de seus funcionários.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
PMTA	Pressão Máxima de Trabalho Admissível.	NR 13 - Norma Regulamentadora do Trabalho	17/04/2025	   
Política	Intenções e direção de uma organização, como formalmente expressos pela sua Alta Direção.	ABNT NBR ISO 9000:2015	17/04/2025	   
Política da qualidade	Política com relação à qualidade, geralmente consistente com a política geral da organização, pode ser alinhada com a visão e a missão da organização e provê uma estrutura para estabelecer os objetivos da qualidade.	ABNT NBR ISO 9000:2015	17/04/2025	   
Ponto de fulgor	É a temperatura mínima necessária para que um combustível desprenda vapores ou gases inflamáveis, quando ainda não existem vapores ou gases suficientes para manter o fogo.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Pós-graduação stricto sensu	Programas de mestrado e doutorado abertos a candidatos diplomados em cursos superiores de graduação e que atendam às exigências do programa de pós-graduação do Instituto de Tecnologia de Alimentos e do Ministério da Educação.	art. 44, III, Lei nº 9.394/1996.	17/04/2025	   
Potencial de prevenção	Análise em profundidade da possibilidade de ocorrer um problema, falha ou defeito se não for realizada a ação preventiva preconizada, incluindo o aspecto de abrangência.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
PPG-Ital	Programa de Pós-Graduação em Ciência e Tecnologia de Alimentos do Instituto de Tecnologia de Alimentos	Regimento Interno do Programa de Pós-Graduação (03 de junho de 2015)	17/04/2025	   
PQ	Procedimento da Qualidade: forma especificada de executar uma atividade ou processo.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
PqC	Pesquisador Científico	http://www.pesquisador.sp.gov.br/index.aspx	17/04/2025	   
PQS	Pó Químico Seco	NR 23 - Norma Regulamentadora do Trabalho	17/04/2025	   
Precisão intermediária ou precisão intermediária de medição	Precisão de medição sob um conjunto de condições de precisão intermediária.	VIM 2012	17/04/2025	   
Precisão ou Precisão de medição	Grau de concordância entre indicações ou valores medidos, obtidos por medições repetidas, no mesmo objeto ou em objetos similares, sob condições especificadas.	VIM 2012	17/04/2025	   
PRO-VEG	Centro de Inovação em Proteína Vegetal.	https://ital.agricultura.sp.gov.br/servicos?a=proveg#pro-veg	17/04/2025	   
Processo	Conjunto de atividades inter-relacionadas ou interativas que utilizam entradas para entregar um resultado pretendido.	ABNT NBR ISO 9000:2015 ABNT NBR ISO 19011:2018	17/04/2025	   
Produto	Saída de uma organização que pode ser produzida sem transação alguma ocorrendo entre a organização e o cliente.	ABNT NBR ISO 9000:2015	17/04/2025	   
Produtos corrosivos	São produtos que em contato direto com a pele causam destruição de tecidos vivos e também outros materiais.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Produtos pirofóricos	São produtos que em condições normais reagem violentamente com o oxigênio do ar ou com a umidade existente, gerando calor, gases inflamáveis e fogo.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Produtos químicos especiais	São produtos que apresentam problemas de estabilidade e risco potencial de explosão. Ex.: água oxigenada, peróxido de sódio etc.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Produtos tóxicos	São produtos que causam sérios problemas orgânicos, tanto por ingestão, inalação ou absorção pela pele, podendo se tornar fatais em alguns casos.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Profissional Visitante (I)	Profissional de instituição privada, nacional ou estrangeira, com atividades em parceria com o Ital, com autorização formal para atuação nas instalações do Instituto, incluindo profissionais de incubadoras e startups. (ex.: BioInFood e startups Apta Hub)	Estabelecido internamente pelo Conselho Técnico Científico.	03/02/2026	   
Profissional Visitante (II)	Profissional vinculado a Centro de Inovação público-privado ou organização de PD&I público-privada instalados no Ital. (ex.: Tropical e JBS)	Estabelecido internamente pelo Conselho Técnico Científico.	03/02/2026	   
Profissional Visitante (III)	Gestores (Cietec, Wylinka e Impact Hub), profissional de startup com vínculo via Apta Hub e profissional vinculado a instituto de pesquisa, universidade, e outros com atividades presenciais frequentes nas instalações do Apta Hub.	Estabelecido internamente pelo Conselho Técnico Científico.	03/02/2026	   
Programa de auditoria	Arranjos para um conjunto de uma ou mais auditorias, planejado para um período de tempo específico e direcionado a um propósito específico.	ABNT NBR ISO 19011:2018	17/04/2025	   
Projeto e desenvolvimento	Conjunto de processos que transformam requisitos para um objeto em requisitos mais detalhados para aquele objeto. Os requisitos que formam a entrada para projeto e desenvolvimento são frequentemente resultado de pesquisa e podem ser expressos de uma forma mais ampla e mais geral do que os requisitos que formam a saída do projeto e desenvolvimento.	ABNT NBR ISO 9000:2015	17/04/2025	   
Propriedade intelectual	Criação intelectual protegida na forma da lei.	D.O. Resolução SAA 12 de 10-3-2016	17/04/2025	   
Publicações técnico-científicas	Livros, capítulos de livros, artigos, notas técnicas, trabalhos ou resumos de trabalhos em anais de congressos científicos, apostilas/manuais técnicos ou seções de apostila/manuais técnicos.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
RA	Coordenador do Sistema de Gestão da Qualidade	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Rastreabilidade	Habilidade de rastrear histórico, aplicação ou localização de um objeto.	ABNT NBR ISO 9000:2015	17/04/2025	   
Rastreabilidade metrológica	Propriedade de um resultado de medição pela qual tal resultado pode ser relacionado a uma referência através de uma cadeia ininterrupta e documentada de calibrações, cada uma contribuindo para a incerteza de medição.	VIM 2012 - item 2.41	17/04/2025	   
RBC	Rede Brasileira de Calibração	http://www.inmetro.gov.br/	17/04/2025	   
Reblas	Rede Brasileira de Laboratórios Analíticos para Saúde.	https://www.gov.br/anvisa/pt-br/assuntos/laboratorios/reblas	17/04/2025	   
Receitas INTRA	Receitas decorrentes da prestação de serviços laboratoriais pelo Ital à Coordenadoria de Defesa Agropecuária (CDA), formalizadas por Termo de Referência (TR) e caracterizadas como operações internas entre órgãos da Administração Pública Estadual.	https://www.defesa.agricultura.sp.gov.br/	11/06/2026	   
Recursos	Meios físicos, humanos e financeiros, necessários para a execução de uma atividade.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Registro	Documento que apresenta resultados obtidos ou provê evidências de atividades realizadas/ informação documentada requerida para evidenciar os resultados alcançados.	ABNT NBR ISO 9000:2015 com adaptação para o Sistema de Gestão da Qualidade do Ital.	17/04/2025	   
Release	Texto para divulgação.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Repetitividade ou Repetitividade de medição	Precisão de medição sob um conjunto de condições de repetitividade.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Requisito	Necessidade ou expectativa que é declarada, geralmente implícita ou obrigatória.	ABNT NBR ISO 9000:2015 ABNT NBR ISO 19011:2018	17/04/2025	   
Resíduos	São considerados resíduos todos os subprodutos das atividades desenvolvidas, os quais podem ou não ser destinados à reutilização no Ital. Também recebem essa classificação os materiais ou produtos que sejam potencialmente perigosos para utilização, reutilização ou mesmo armazenamento. Enquadram-se ainda como resíduos os excedentes de alimentos, próprios ou impróprios para consumo.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Resolução	Menor variação da grandeza medida que causa uma variação perceptível na indicação correspondente.	VIM 2012 - item 4.14	17/04/2025	   
Resolução de um dispositivo mostrador	Menor diferença entre indicações mostradas que pode ser significativamente percebida	VIM 2012 - item 4.15	17/04/2025	   
Retrabalho	Ação sobre um produto ou serviço não conforme, a fim de torná-lo conforme aos requisitos	ABNT NBR ISO 9000:2015	17/04/2025	   
RG	Registro Geral ou Carteira de Identidade	www.brasil.gov.br	17/04/2025	   
RHAE	Programa Recursos Humanos em Áreas Estratégicas (CNPq)	https://www.gov.br/cnpq/pt-br/acesso-a-informacao/acoes-e-programas/programas/rhae	17/04/2025	   
RQ	Representante da Qualidade da Unidade	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
RS	Registro do Servidor	https://www.fazenda.sp.gov.br	17/04/2025	   
RS	Registro de Solicitação	Sistema ERP-Unidade	17/04/2025	   
SA	Solicitação de Adiantamento	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
SA	Fornecedor sem avaliação	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
SAA	Secretaria da Agricultura e Abastecimento do Estado de São Paulo	http://www.agricultura.sp.gov.br/	17/04/2025	   
SAC	Solicitação de Ação Corretiva	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
SAF	Sistema de Avaliação de Fornecedores	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
SAI	Sistema de Administração da Intranet	Grupo de Tecnologia da Informação (GTI)	17/04/2025	   
SAMU	Serviço de Atendimento Médico de Urgência.	www.saude.campinas.sp.gov.br	17/04/2025	   
SAP	Solicitação de Ação Preventiva ou de Melhoria	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
SAR	Sistema de Acesso a Relatório e Avaliação de Serviço	Estabelecido internamente pela Comissão de Gestão da Qualidade e Grupo de Tecnologia da Informação (GTI).	17/04/2025	   
SC	Fornecedor sem cadastro	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
SDI	Sistema Dinâmico do Ital	Grupo de Tecnologia da Informação (GTI)	17/04/2025	   
SEI	Sistema Eletrônico de Informações	SÃO PAULO (Estado). Decreto ? 67.641, de 10 de abril de 2023. Dispõe sobre o uso de meio eletrônico para a formalização de processo administrativo no âmbito da Administração Pública estadual, institui o Sistema Eletrônico de Informações do Estado de São Paulo  SEI/SP e dá providências correlatas. Diário Oficial do Estado. Poder Executivo, São Paulo. 11 abr. 2023. Seção I, p. 01	17/04/2025	   
Seiketsu	Senso de saúde e higiene.	RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.	17/04/2025	   
Seiri	Senso de utilização.	RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.	17/04/2025	   
Seiso	Senso de limpeza.	RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.	17/04/2025	   
Seiton	Senso de ordenação, organização e padronização.	RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.	17/04/2025	   
Serviço	Saída de uma organização, com pelo menos uma atividade necessariamente realizada entre a organização e o cliente.	ABNT NBR ISO 9000:2015	17/04/2025	   
SGP	Sistema de Gestão de Projetos	Definição estabelecida pela APTA.	17/04/2025	   
SGQ	Sistema de Gestão da Qualidade: conjunto de elementos inter-relacionados ou interativos de uma organização para estabelecer políticas, objetivos e processos para alcançar esses objetivos com relação à qualidade.	ABNT NBR ISO 9000:2015	17/04/2025	   
Shitsuke	Senso de autodisciplina.	RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.	17/04/2025	   
SI	Sistema Internacional de Unidades	http://www.inmetro.gov.br/	17/04/2025	   
SIAFÍSICO	Sistema Integrado de Informações Físico-Financeira	https://www6.fazenda.sp.gov.br/	17/04/2025	   
SIAPG	Sistema Integrado de Administração da Pós-Graduação	Grupo de Tecnologia da Informação (GTI)	17/04/2025	   
SIAT	Sistema Integrado de Registro de Acidente e Incidente de Trabalho	Grupo de Tecnologia da Informação (GTI)	03/02/2026	   
SICAF	Sistema de Cadastro de Fornecedores	https://www3.comprasnet.gov.br/sicaf-web/public/pages/consultas/consultarCRC.jsf	17/04/2025	   
SIGA	Sistema de Informações Gerenciais dos Agronegócios	Definição estabelecida pela APTA.	17/04/2025	   
SISMA	Sistema Informatizado para Solicitação de Manutenção	Estabelecido internamente pela DG.	17/04/2025	   
Sistema de gestão	Conjunto de elementos inter-relacionados ou interativos de uma organização para estabelecer políticas, objetivos e processos para alcançar esses objetivos.	ABNT NBR ISO 9000:2015	17/04/2025	   
Sistema de gestão de medição	Conjunto de elementos inter-relacionados e interativos, necessários para obter a comprovação metrológica e o controle dos processos de medição.	ABNT NBR ISO 9000:2015	17/04/2025	   
Sistema DG	Setores administrativos e de apoio ligados diretamente ao Diretor Geral e que compõe a Diretoria Geral: Secretaria, Comunicação, Convênios, Difusão do Conhecimento, Grupo de Tecnologia de Informação (GTI), Apoio Operacional, Núcleo de Treinamento e Capacitação (NTC) e o Escritório de Apoio Institucional ao Pesquisador (EAIP).	Estabelecido pelo Diretor Geral.	03/02/2026	   
Sistema ERP - Unidade	Sistema desenvolvido especificamente para cada Unidade para gestão de processos internos. Exemplos: Sistema ERP Cetea, Sistema ERP CCQA, Sistema ERP Cereal Chocotec, Sistema ERP CTC etc.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Sistema ERP-Ital	Sistema de informação desenvolvido para o Ital, contendo informações sobre recursos humanos, fornecedores e outros.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Socorristas	Médicos, enfermeiros, auxiliares de enfermagem, ou pessoas devidamente treinadas e capacitadas para prestar os primeiros socorros às vítimas de acidentes.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
TCE	Termo de Compromisso de Estágio	Lei nº 11.788, de 25 de setembro de 2008.	17/04/2025	   
Tecnolat	Centro de Tecnologia de Laticínios e Bactérias Láticas	Estabelecido pelo Conselho Técnico Científico.	17/04/2025	   
TFIL	Tropical Food Innovation Lab	https://tropicalfoodinnovationlab.com.br/	17/04/2025	   
Time de Gerenciamento de Resíduos	Grupo de funcionários, com representantes de todas as Unidades, responsável pela coordenação e orientação das atividades de descarte de resíduos do Ital.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
TNS	Técnico de nível superior completo (concursado ou contratado) com formação necessária para o exercício da função na área fim (produtiva).	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
TNSE	Técnico de nível superior completo envolvido em atividades de pesquisa e desenvolvimento (PqC ou equivalente).	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Tolerância (T)	Diferença entre o valor máximo e mínimo admissível de uma propriedade mensurável. A tolerância é atribuída ao método.	ISO 14253-1:2013 item 3.1 a 3.3	17/04/2025	   
TR	Termo de referência para serviços especializados.	Estabelecido pela Fundepag.	17/04/2025	   
Treinamento	Qualquer atividade visando capacitação em determinado(s) assunto(s).	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Treinamento de curta e média duração	São os cursos de aperfeiçoamento e atualização, exceto pós-graduação formal (Stricto sensu).	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Treinamento de longa duração	Cursos de pós-graduação formais (Stricto sensu).	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Treinamento externo	Treinamento organizado por empresa especializada fora do Ital ou eventos do programa oficial do Ital.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Treinamento interno	Treinamento organizado pelo Ital ou pelas Unidades para o público interno. O instrutor pode ser do quadro de funcionários ou externo. Eventos do programa oficial do Ital não são considerados treinamentos internos.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Treinamento/Curso fechado	Treinamento ou curso programado por solicitação de qualquer cliente externo e para atendimento exclusivo do público indicado pelo cliente, podendo também ser chamado de "in company".	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Ufesp	Unidade Fiscal do Estado de São Paulo	Diário Oficial do Estado de 10 de janeiro de 1989.	17/04/2025	   
Unicamp	Universidade Estadual de Campinas	http://www.unicamp.br/unicamp/	17/04/2025	   
Unidade administrativa	Diretoria Geral (DG).	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Unidades 17025	Unidades Técnicas cujos laboratórios possuem ensaios analíticos adequados à norma NBR ISO/IEC 17025.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
UT	Unidade Técnica: Centro de Pesquisa e Desenvolvimento ou Unidade Laboratorial de Referência.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Validação	Confirmação, através do fornecimento de evidência objetiva, de que os requisitos para o uso específico pretendido ou para uma aplicação foram atendidos.	ABNT NBR ISO 9000:2015	17/04/2025	   
Valores	São fundamentos que definem princípios e propósitos valiosos para uma organização.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Vasos de pressão	Equipamento que contêm fluidos sob pressão interna ou externa, diferente da atmosférica.	NR 13 - Norma Regulamentadora do Trabalho	17/04/2025	   
Verificação	Fornecimento de evidência objetiva de que um dado item satisfaz requisitos especificados. Confirmação de que as propriedades relativas ao desempenho ou aos requisitos legais são satisfeitas por um sistema de medição. A verificação não deve ser confundida com calibração. Nem toda verificação é uma validação	VIM 2012 - item 2.44	17/04/2025	   
Vidraria volumétrica	Vidraria de laboratório utilizada para medições precisas de volume. Ex.: balões volumétricos, pipetas volumétricas, buretas etc.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
VIM	Vocabulário Internacional de Metrologia	http://www.inmetro.gov.br/	17/04/2025	   
Visão	Aspiração do que uma organização gostaria de se tornar, como expresso pela alta direção.	ABNT NBR ISO 9000:2015	17/04/2025	   
Web	Refere-se a páginas e \"sites\" desenvolvidos pelas Unidades ou pelo Ital.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
 
 Histórico de Definições e Siglas
ID	Arquivo / Nome Antigo	Data Arquivamento	Responsável	Descrição	Ações
7	Siglas_e_Definicoes.pdf
Siglas_e_Definicoes_20251215_145618.pdf	15/12/2025 14:56	Sistema	Substituído via Listagem. Data doc: 2025-12-15	 
6	FQ0411.pdf
FQ0411_20251211_105116.pdf	11/12/2025 10:51	Sistema	Substituído via Listagem. Data doc: 2025-04-17	 
5	FQ0411.pdf
