Siglas e Definições 323
Sigla	Definição	Ref.	Data	Ações
Cadterc	Estudos técnicos de serviços terceirizados	www.bec.sp.gov.br	17/04/2025	   
Caldeira	Equipamento destinado a produzir e acumular vapor sob pressão superior à atmosférica, utilizando qualquer fonte de energia, projetado conforme códigos pertinentes, excetuando-se refervedores e similares.	NR 13 - Norma Regulamentadora do Trabalho	17/04/2025	   
Calibração	Operação que estabelece, numa primeira etapa e sob condições especificadas, uma relação entre os valores e as incertezas de medição fornecidos por padrões e as indicações correspondentes com as incertezas associadas; numa segunda etapa, utiliza essa informação para estabelecer uma relação visando à obtenção de um resultado de medição a partir de uma indicação.	VIM 2012 - item 2.39	17/04/2025	   
Capes	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	www.capes.gov.br	17/04/2025	   
Cargo	Título resultante de um agrupamento de tarefas, de mesma natureza e nível de complexidade, atribuídas a um ou mais funcionários da organização, de forma genérica.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
CAT	Comunicado de Acidente de Trabalho.	https://portal.inss.gov.br	17/04/2025	   
Caufesp	Cadastro Único de Fornecedores do Estado de São Paulo	www.bec.sp.gov.br	17/04/2025	   
CCD	Centro de Ciência para o Desenvolvimento - Projeto colaborativo Fapesp de até cinco anos orientado a problemas específicos, de interesse social ou econômico do Estado de São Paulo, visando o avanço do conhecimento e a melhoria de políticas públicas, reunindo pesquisadores de universidades e instituições de pesquisa paulistas, gestores de órgãos do governo estadual e de municípios, além de empresas e organizações não governamentais (ONGs)	https://fapesp.br/16421/programa-centros-de-ciencia-para-o-desenvolvimento	17/04/2025	   
CCD Círcula	Centro de Ciência para o Desenvolvimento Soluções para os Resíduos Pós-Consumo: Embalagens e Produtos - Projeto colaborativo Fapesp com a missão de desenvolver soluções inovadoras voltadas ao problema dos resíduos pós-consumo para reduzir ou eliminar o seu impacto negativo, com base nos princípios da economia circular e nos Objetivos de Desenvolvimento Sustentável.	https://bv.fapesp.br/pt/auxilios/110534/centro-de-ciencias-para-o-desenvolvimento-ccd-solucoes-para-os-residuos-pos-consumo-embalagens-e-pro/	17/04/2025	   
CCQA	Centro de Ciência e Qualidade dos Alimentos.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
CD	Conselho Técnico-Científico (Conselho Diretor).	Decreto nº 52167 de 1969	17/04/2025	   
CDA	Coordenadoria de Defesa Agropecuária	https://www.defesa.agricultura.sp.gov.br/	11/06/2026	   
Cepagri	Centro de Pesquisas Meteorológicas e Climáticas Aplicadas a Agricultura	http://www.cepagri.unicamp.br/	17/04/2025	   
Cereal Chocotec	Centro de Tecnologia de Cereais e Chocolate	Decreto nº 46.488 de 8 de janeiro de 2002	17/04/2025	   
Certificação digital	Mecanismo tecnológico para comprovação de autenticidade, confidencialidade e integridade das informações de determinado documento.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Cetea	Centro de Tecnologia de Embalagem	Decreto nº 46.488 de 8 de janeiro de 2002	17/04/2025	   
Cetesb	Companhia Ambiental do Estado de São Paulo	http://www.cetesb.sp.gov.br	17/04/2025	   
CG	Cromatógrafo Gasoso, também conhecido pela sigla em inglês GC	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Cgcre	Coordenação Geral de Acreditação (Inmetro)	http://www.inmetro.gov.br/	17/04/2025	   
CGQ	Comissão de Gestão da Qualidade	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Checagem	Ação simples para confirmar operacionalidade de um equipamento.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Checagem intermediária	Checagem efetuada entre as calibrações/verificações programadas, a intervalos de tempo definidos, segundo procedimento estabelecido, visando fornecer evidências sobre a manutenção ou não da conformidade de um Eime. Esses intervalos são normalmente menores do que o intervalo de calibração do Eime.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
CIC	Comissão de Integridade Científica	Portaria Ital nº22 de 03 de julho de 2017.	17/04/2025	   
CID	Código de Identificação de Doença.	www.cid10.com.br	17/04/2025	   
CIN	Carteira de Identidade Nacional	www.gov.br	03/02/2026	   
Cipa	Comissão Interna de Prevenção de Acidentes e de Assédio.	NR-05 - Norma Regulamentadora do Trabalho	03/02/2026	   
CIPOA	Centro de Inspeção de Produtos de Origem Animal da CDA, responsável por inspecionar, registrar e garantir a qualidade higiênico-sanitária de alimentos de origem animal do Estado de São Paulo.	https://www.defesa.agricultura.sp.gov.br/	11/06/2026	   
CLAE	Cromatógrafo Líquido de Alta Eficiência, também conhecido pela sigla em inglês HPLC	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Cliente	Pessoa ou organização que poderia receber ou que recebe um produto ou um serviço destinado para, ou solicitado por, essa pessoa ou organização.	ABNT NBR ISO 9000:2015	17/04/2025	   
CLT	Consolidação das Leis do Trabalho (legislação trabalhista aplicada aos funcionários contratados).	DECRETO-LEI N.º 5.452, DE 1º DE MAIO DE 1943	17/04/2025	   
CND	Certidäo Negativa de Débito	https://www.receita.fazenda.gov.br/	17/04/2025	   
CNPq	Conselho Nacional de Desenvolvimento Científico e Tecnológico	http://cnpq.br	17/04/2025	   
Coeficiente de determinação (r2)	Este parâmetro permite uma estimativa da qualidade da curva obtida, pois quanto mais próximo de 1,0, menor a dispersão do conjunto de pontos experimentais e menor a incerteza dos coeficientes de regressão estimados.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Colaboradores	Funcionários estatutários, funcionários contratados pela Fundação de Apoio e colaboradores especiais.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Colaboradores especiais	Jovem aprendiz e profissionais externos.	Estabelecido internamente pelo Conselho Técnico Científico.	03/02/2026	   
Coleta seletiva	Coleta de resíduos passíveis de reciclagem, devidamente segregados e identificados, tais como: vidro, plástico, metal e papel.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Combate a incêndio	É o conjunto de ações táticas destinadas a extinguir ou isolar o incêndio com uso de equipamentos manuais ou automáticos.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Comburente	É qualquer gás que favorece a combustão; o mais comum é o oxigênio encontrado na atmosfera, numa concentração em torno de 21% em volume.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Combustível	É tudo aquilo que pode queimar e que alimenta o fogo. É encontrado em três formas: sólida (ex: madeira, borracha, metal), líquida (ex: álcool, éter, gasolina) e gasosa (ex: butano, propano).	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Competência	Capacidade de aplicar conhecimento e habilidades para alcançar resultados pretendidos.	ABNT NBR ISO 9000:2015	17/04/2025	   
Comprovação metrológica	Conjunto de operações necessárias para assegurar que um EIME atende aos requisitos de seu uso pretendido.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
COMUT	Comutação Bibliográfica	http://comut.ibict.br	17/04/2025	   
