Status;Palavra_Sigla;Definicao;Referencia;Data_Atualizacao;Data_Agendamento;Responsavel_Agendamento;Data_Arquivamento;Responsavel_Arquivamento;Descricao_Historico
ATIVO;HD;"Disco rígido onde os dados são armazenados";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;IBICT;"Instituto Brasileiro de Informação em Ciência e Tecnologia";http://www.ibict.br/;2025-04-17;;;;;
ATIVO;"Identificação alfanumérica";"Sistema de codificação/identificação em que se empregam grupos de letras e algarismos (números).";http://michaelis.uol.com.br/;2025-04-17;;;;;
ATIVO;Iluminação;"Leitura, com luxímetro, da quantidade de luz existente na área de trabalho da capela, com unidade de leitura em LUX.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Imparcialidade;"Presença de objetividade. A objetividade implica a ausência de conflitos de interesse, ou a sua resolução, de modo a não influenciar de forma adversa as atividades subsequentes.";"ABNT NBR ISO/IEC 17025:2017";2025-04-17;;;;;
ATIVO;"Incerteza combinada (Ic)";"Incerteza padrão obtida ao se utilizarem incertezas padrão individuais associadas às grandezas de entrada em um modelo de medição.";"VIM 2012 - item 4.26";2025-04-17;;;;;
ATIVO;"Incerteza de medição";"Parâmetro não negativo que caracteriza a dispersão dos valores atribuídos a um mensurando, com base nas informações utilizadas.";"VIM 2012 - item 2.26";2025-04-17;;;;;
ATIVO;"Incerteza de medição expandida (U)";"Produto de uma incerteza padrão combinada por um fator maior do que o número um. O fator depende do tipo de distribuição de probabilidade da grandeza de saída e da probabilidade de abrangência escolhida.";"VIM 2012 - item 2.35";2025-04-17;;;;;
ATIVO;"Incerteza de medição instrumental";"Componente da incerteza de medição proveniente do instrumento de medição ou do sistema de medição utilizado. 
NOTA 1: A  incerteza  de  medição  instrumental  é  obtida  por  meio da  calibração  do instrumento de medição ou do sistema de medição, exceto para um padrão primário, para o qual são utilizados outros meios. 
NOTA 2: A  incerteza  de  medição  instrumental  é  utilizada  na  avaliação  do  Tipo  B  da incerteza de medição. 
NOTA 3: As  informações  referentes  à  incerteza  de  medição  instrumental  podem  ser fornecidas nas especificações do instrumento.";"VIM 2012 - item 4.24";2025-04-17;;;;;
ATIVO;Incidente;"Ocorrência inesperada no dia-a-dia de trabalho, mas que não gera nenhum dano ao funcionário e aos processos empresariais, ou seja, não afeta o decorrer das atividades. Como por exemplo, durante a troca de uma lâmpada o funcionário cai da escada e derruba a lâmpada, porém a lâmpada contínua intacta e o funcionário não sofre nenhum tipo de ferimento. Embora nada tivesse ocorrido de grave, a situação poderia ter tido consequências mais danosas e isto é considerado um incidente.";"Estabelecido pela Cipa";2025-04-17;;;;;
ATIVO;"Incineração de resíduos";"Destruição, por incineração, de resíduos perigosos.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Indicadores;"Formas quantificáveis de representação das características de produtos e processos, que refletem o desempenho de uma organização. São medidas numéricas (geralmente) de desempenho relacionadas a uma meta ou a um conjunto de metas.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Informação tecnológica";"Prestação de informação pontual sobre alimentos e embalagens.";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;Inmetro;"Instituto Nacional de Metrologia, Normalização e Qualidade Industrial";www.inmetro.gov.br/;2025-04-17;;;;;
ATIVO;"Inovação tecnológica";"Introdução de novidade ou aperfeiçoamento no ambiente produtivo e/ou social que resulte em novos processos, produtos ou serviços, bem como em ganho de qualidade ou produtividade em processos, produtos ou serviços já existentes, visando ampliar a competitividade no mercado, bem como a melhoria das condições de vida da maioria da população, e a sustentabilidade socioambiental.";"D.O. Resolução SAA 12 de 10-3-2016";2025-04-17;;;;;
ATIVO;Inspeção;"Determinação da conformidade a requisitos especificados";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;INSS;"Instituto Nacional de Seguro Social";www.previdencia.gov.br;2025-04-17;;;;;
ATIVO;Insumo;"Produto utilizado em um processo, exceto amostra.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Investimento;"Recursos financeiros necessários para aquisição de equipamentos, veículos, livros e periódicos, reformas e obras, provenientes de todas as fontes: orçamentário (Gesp e FED), Fundepag, Agências de Fomento (Fapesp, Finep, CNPq etc.).";"Estabelecido internamente  pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;IQF;"Índice Médio de Qualidade de Fornecimento: representa a média das avaliações dos 10 (dez) últimos fornecimentos ou menos (em casos de poucos fornecimentos) de um determinado fornecedor, após as ponderações dos itens de satisfação considerados na avaliação.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;ISBN;"International Standard Book Number.";http://www.isbn.bn.br/website/;2025-04-17;;;;;
ATIVO;ISSN;"International Standard Serial Number";http://www.ibict.br/informacao-para-ciencia-tecnologia-e-inovacao%20/centro-brasileiro-do-issn;2025-04-17;;;;;
ATIVO;ISSQN;"Imposto sobre Serviços de Qualquer Natureza";http://www.campinas.sp.gov.br/governo/financas/issqn/;2025-04-17;;;;;
ATIVO;IT;"Instrução de Trabalho: é um procedimento com descrição mais detalhada da atividade ou processo a ser executado.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Ital;"Instituto de Tecnologia de Alimentos";"Decreto nº 52.167 de 1969";2025-04-17;;;;;
ATIVO;IU;"Instrução de Uso: documento simples de orientação do passo-a-passo de uso de um equipamento, incluindo os cuidados pertinentes. Em muitos casos ela já está contida no MO.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Jucerja;"Junta Comercial do Estado do Rio de Janeiro";https://www.jucerja.rj.gov.br/;2025-04-17;;;;;
ATIVO;Jucesp;"Junta Comercial do Estado de São Paulo";https://www.jucesponline.sp.gov.br/;2025-04-17;;;;;
ATIVO;Luxímetro;"Equipamento utilizado para medir a intensidade de iluminação em lux.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;MA;"Método analítico: procedimento técnico especificado para realizar um ensaio.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Manutenção corretiva";"serviço executado em equipamento que apresenta falha.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Manutenção preventiva";"ação planejada com intervalo de tempo definido e efetuada com a intenção de reduzir a probabilidade de falha ou queda no desempenho do equipamento.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Mapa de riscos ambientais";"Representação gráfica de um conjunto de fatores presentes nos locais de trabalho, capazes de acarretar prejuízos à saúde dos trabalhadores.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Material Permanente";"Aquele que, em razão de seu uso corrente, não perde a sua identidade física, e/ou tem uma durabilidade superior a dois anos (exemplo: móveis, equipamentos, veículos, livros, periódicos etc.).";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Missão;"Propósito da existência da organização, como expresso pela Alta Direção.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;MO;"Método de Operação de Equipamentos: documento referente aos métodos de operação dos equipamentos utilizados pela Unidade.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;MQ;"Manual da Qualidade: especificação para o sistema de gestão da qualidade de uma organização. Estabelecido em atendimento à ABNT NBR ISO 9001 e ABNT NBR ISO 17025.";"ABNT NBR ISO 9000:2015 com adaptação para o Sistema de Gestão da Qualidade do Ital.";2025-04-17;;;;;
ATIVO;MS;"Manual de Segurança do Trabalho: documento que especifica os requisitos de segurança para realizar atividades nas Unidades.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;MTE;"Ministério do Trabalho e Emprego";http://trabalho.gov.br/;2025-04-17;;;;;
ATIVO;MV;"Matriz de versatilidade:matriz que relaciona o funcionário, as competências requeridas para o exercício de sua função e o nível de sua capacitação.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;NC;"Não conformidade: não atendimento de um requisito.";"ABNT NBR ISO 9000:2015
ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;NCBI;"Não Conformidade ou Melhoria de Baixo Impacto.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;NF;"Nota fiscal";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;NI;"Norma Interna: procedimento específico de uma Unidade.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;NIE;"Sigla equivalente à Apoio Operacional. Será extinta conforme revisão dos documentos.";"Decreto nº 66.417, de 30 de dezembro de 2021";2025-04-17;;;;;
ATIVO;NIST;"National Institute of Standards and Technology";https://www.nist.gov/;2025-04-17;;;;;
ATIVO;NIT;"Núcleo de Inovação Tecnológica do Ital: grupo responsável pela gestão da política institucional de inovação do Instituto.";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;"Nota técnica";"Documento elaborado por técnicos especializados em determinado assunto.";"Definição estabelecida pela DG.";2025-04-17;;;;;
ATIVO;NPOP;"Núcleo de Pesquisa Orientada a Problemas";https://bv.fapesp.br/pt/699/nucleos-de-pesquisa-orientada-a-problemas-em-sao-paulo-npop-sp;2025-04-17;;;;;
ATIVO;NR;"Norma Regulamentadora do Ministério do Trabalho";www.mte.gov.br;2025-04-17;;;;;
ATIVO;NTC;"Núcleo de Treinamento e Capacitação. Anterior NQRH.";"Decreto nº 66.417, de 30 de dezembro de 2021";2025-04-17;;;;;
ATIVO;"Objetivo da qualidade";"Resultado a ser alcançado que diz respeito à qualidade.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Oportunidade de melhoria";"Potencialidade de melhoria ou de não conformidade detectada.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Organograma linear de responsabilidades";"Distribuição de autoridade e responsabilidade para os diferentes tipos de atividades.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Ouvidoria;"É um canal de comunicação entre o cidadão e a administração pública com a finalidade de receber manifestações, denúncias, reclamações, sugestões e elogios e prestar informações às demandas recebidas.";https://www.ouvidoria.sp.gov.br/;2025-04-17;;;;;
ATIVO;"Palestra externa";"Palestra organizada por empresa especializada fora do Ital.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Palestra interna";"Palestra promovida pelo Ital ou pelas Unidades para o público interno. O palestrante pode ser do quadro de funcionários ou externo.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Parâmetros Críticos";"Parâmetros críticos de um método de análise são os fatores ou condições que devem ser controlados para garantir a confiabilidade dos resultados analíticos. Esses parâmetros podem variar em função do método, do tipo de análise, da matriz analisada e de outros fatores. São exemplos de parâmetros críticos: temperatura, pH, tempo de reação, concentração de reagentes, agitação, equipamentos, condições ambientais entre outros.
Os parâmetros críticos devem ser registrados para demonstrar que foram controlados e atenderam adequadamente ao que foi estabelecido. Se não atendidos, devem ser tomadas ações para garantir resultados confiáveis.";"Estabelecido internamente pela Comissão de Gestão da Qualidade - Reunião de dezembro/2024.";2025-04-17;;;;;
ATIVO;"Parte interessada";"Pessoa ou organização que pode afetar, ser afetada ou se perceber afetada por uma decisão ou atividade.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Passivos químicos";"Reagentes fora do prazo de validade, inadequados para uso ou não utilizados nas atividades rotineiras dos laboratórios por um período extenso.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Patrimônio;"Área pertencente ao Apoio Operacional (DG), responsável pela gestão do patrimônio.";"Estabelecido internamente pela Diretoria Geral.";2025-04-17;;;;;
ATIVO;PBIS;"Plataforma Biotecnológica Integrada de Ingredientes Saudáveis";https://bv.fapesp.br/pt/auxilios/109129/pbis-plataforma-biotecnologica-integrada-de-ingredientes-saudaveis/;2025-04-17;;;;;
ATIVO;PCD;"Pessoa com deficiência";"Lei n° 13.146, de 06 de julho de 2015.";2025-04-17;;;;;
ATIVO;"Pesquisador Visitante (C)";"Pós-graduado, aluno de mestrado ou de doutorado sem vínculo empregatício e orientado ou coorientado por pesquisador do Ital, com bolsa de pesquisa e/ou vínculo acadêmico com instituições externas para realização de atividade de interesse específico de PD&I. Exemplo: alunos/bolsistas de outras instituições que são coorientados por pesquisador do Ital (exceto bolsistas mencionados na categoria D).";"Estabelecido internamente pelo Conselho Técnico Científico.";2026-02-03;;;;;
ATIVO;"Pesquisador Visitante (B)";"Jovem pesquisador da Fapesp ou bolsista de pós-doutorado, doutorado ou de mestrado ou bolsa de fomento de outra natureza orientado ou coorientado por um pesquisador do Ital e com vínculo em projetos e programas de pesquisa do Ital (liderança ou colaboração) Exemplo: Bolsistas de pós-doutorado de projetos interinstitucionais com agências de fomento, como PBIS, CCD e outros nesse formato (incluindo os que são com interveniência da FA).";"Estabelecido internamente pelo Conselho Técnico Científico.";2026-02-03;;;;;
ATIVO;Pibic;"Programa Institucional de Bolsas de Iniciação Científica do CNPq";http://www.cnpq.br/pibic;2025-04-17;;;;;
ATIVO;Pibit;"Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação do CNPq";http://www.cnpq.br/pibiti;2025-04-17;;;;;
ATIVO;PITec;"Plataforma de Inovação Tecnológica";https://ital.agricultura.sp.gov.br/pitec;2025-04-17;;;;;
ATIVO;"Plano de auditoria";"Descrição das atividades e arranjos para uma auditoria.";"ABNT NBR ISO 9000:2015
ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;"Plano de treinamento";"Plano elaborado pelas Unidades para treinamento de seus funcionários.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;PMTA;"Pressão Máxima de Trabalho Admissível.";"NR 13 - Norma Regulamentadora do Trabalho";2025-04-17;;;;;
ATIVO;Política;"Intenções e direção de uma organização, como formalmente expressos pela sua Alta Direção.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Política da qualidade";"Política com relação à qualidade, geralmente consistente com a política geral da organização, pode ser alinhada com a visão e a missão da organização e provê uma estrutura para estabelecer os objetivos da qualidade.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Ponto de fulgor";"É a temperatura mínima necessária para que um combustível desprenda vapores ou gases inflamáveis, quando ainda não existem vapores ou gases suficientes para manter o fogo.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;"Pós-graduação stricto sensu";"Programas de mestrado e doutorado abertos a candidatos diplomados em cursos superiores de graduação e que atendam às exigências do programa de pós-graduação do Instituto de Tecnologia de Alimentos e  do Ministério da Educação.";"art. 44, III, Lei nº 9.394/1996.";2025-04-17;;;;;
ATIVO;"Potencial de prevenção";"Análise em profundidade da possibilidade de ocorrer um problema, falha ou defeito se não for realizada a ação preventiva preconizada, incluindo o aspecto de abrangência.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;PPG-Ital;"Programa  de  Pós-Graduação  em  Ciência  e  Tecnologia  de  Alimentos do   Instituto   de   Tecnologia   de   Alimentos";"Regimento Interno do Programa  de  Pós-Graduação (03 de junho de 2015)";2025-04-17;;;;;
ATIVO;PQ;"Procedimento da Qualidade: forma especificada de executar uma atividade ou processo.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;PqC;"Pesquisador Científico";http://www.pesquisador.sp.gov.br/index.aspx;2025-04-17;;;;;
ATIVO;PQS;"Pó Químico Seco";"NR 23 - Norma Regulamentadora do Trabalho";2025-04-17;;;;;
ATIVO;"Precisão intermediária ou precisão intermediária de medição";"Precisão de medição sob um conjunto de condições de precisão intermediária.";"VIM 2012";2025-04-17;;;;;
ATIVO;"Precisão ou Precisão de medição";"Grau de concordância entre indicações ou valores medidos, obtidos por medições repetidas, no mesmo objeto ou em objetos similares, sob condições especificadas.";"VIM 2012";2025-04-17;;;;;
ATIVO;Processo;"Conjunto de atividades inter-relacionadas ou interativas que utilizam entradas para entregar um resultado pretendido.";"ABNT NBR ISO 9000:2015
ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;Produto;"Saída de uma organização que pode ser produzida sem transação alguma ocorrendo entre a organização e o cliente.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Produtos corrosivos";"São produtos que em contato direto com a pele causam destruição de tecidos vivos e também outros materiais.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;"Produtos pirofóricos";"São produtos que em condições normais reagem violentamente com o oxigênio do ar ou com a umidade existente, gerando calor, gases inflamáveis e fogo.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;"Produtos químicos especiais";"São produtos que apresentam problemas de estabilidade e risco potencial de explosão. Ex.: água oxigenada, peróxido de sódio etc.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;"Produtos tóxicos";"São produtos que causam sérios problemas orgânicos, tanto por ingestão, inalação ou absorção pela pele, podendo se tornar fatais em alguns casos.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;"Programa de auditoria";"Arranjos para um conjunto de uma ou mais auditorias, planejado para um período de tempo específico e direcionado a um propósito específico.";"ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;"Projeto e desenvolvimento";"Conjunto de processos que transformam requisitos para um objeto em requisitos mais detalhados para aquele objeto. Os requisitos que formam a entrada para projeto e desenvolvimento são frequentemente resultado de pesquisa e podem ser expressos de uma forma mais ampla e mais geral do que os requisitos que formam a saída do projeto e desenvolvimento.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Propriedade intelectual";"Criação intelectual protegida na forma da lei.";"D.O. Resolução SAA 12 de 10-3-2016";2025-04-17;;;;;
ATIVO;PRO-VEG;"Centro de Inovação em Proteína Vegetal.";https://ital.agricultura.sp.gov.br/servicos?a=proveg#pro-veg;2025-04-17;;;;;
ATIVO;"Publicações técnico-científicas";"Livros, capítulos de livros, artigos, notas técnicas, trabalhos ou resumos de trabalhos em anais de congressos científicos, apostilas/manuais técnicos ou seções de apostila/manuais técnicos.";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;RA;"Coordenador do Sistema de Gestão da Qualidade";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;Rastreabilidade;"Habilidade de rastrear histórico, aplicação ou localização de um objeto.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Rastreabilidade metrológica";"Propriedade de um resultado de medição pela qual tal resultado pode ser relacionado a uma referência através de uma cadeia ininterrupta e documentada de calibrações, cada uma contribuindo para a incerteza de medição.";"VIM 2012 - item 2.41";2025-04-17;;;;;
ATIVO;RBC;"Rede Brasileira de Calibração";http://www.inmetro.gov.br/;2025-04-17;;;;;
ATIVO;Reblas;"Rede Brasileira de Laboratórios Analíticos para Saúde.";https://www.gov.br/anvisa/pt-br/assuntos/laboratorios/reblas;2025-04-17;;;;;
ATIVO;Recursos;"Meios físicos, humanos e financeiros, necessários para a execução de uma atividade.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Registro;"Documento que apresenta resultados obtidos ou provê evidências de atividades realizadas/ informação documentada requerida para evidenciar os resultados alcançados.";"ABNT NBR ISO 9000:2015 com adaptação para o Sistema de Gestão da Qualidade do Ital.";2025-04-17;;;;;
ATIVO;Release;"Texto para divulgação.";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;"Repetitividade ou Repetitividade de medição";"Precisão de medição sob um conjunto de condições de repetitividade.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Requisito;"Necessidade ou expectativa que é declarada, geralmente implícita ou obrigatória.";"ABNT NBR ISO 9000:2015
ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;Resíduos;"São considerados resíduos todos os subprodutos das atividades desenvolvidas, os quais podem ou não ser destinados à reutilização no Ital. Também recebem essa classificação os materiais ou produtos que sejam potencialmente perigosos para utilização, reutilização ou mesmo armazenamento. Enquadram-se ainda como resíduos os excedentes de alimentos, próprios ou impróprios para consumo.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Resolução;"Menor variação da grandeza medida que causa uma variação perceptível na indicação correspondente.";"VIM  2012 - item 4.14";2025-04-17;;;;;
ATIVO;"Resolução de um dispositivo mostrador";"Menor diferença entre indicações mostradas que pode ser significativamente percebida";"VIM 2012 - item 4.15";2025-04-17;;;;;
ATIVO;Retrabalho;"Ação sobre um produto ou serviço não conforme, a fim de torná-lo conforme aos requisitos";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;RG;"Registro Geral ou Carteira de Identidade";www.brasil.gov.br;2025-04-17;;;;;
ATIVO;RHAE;"Programa Recursos Humanos em Áreas Estratégicas (CNPq)";https://www.gov.br/cnpq/pt-br/acesso-a-informacao/acoes-e-programas/programas/rhae;2025-04-17;;;;;
ATIVO;RQ;"Representante da Qualidade da Unidade";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;RS;"Registro do Servidor";https://www.fazenda.sp.gov.br;2025-04-17;;;;;
ATIVO;RS;"Registro de Solicitação";"Sistema ERP-Unidade";2025-04-17;;;;;
ATIVO;SA;"Solicitação de Adiantamento";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;SA;"Fornecedor sem avaliação";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;SAA;"Secretaria da Agricultura e Abastecimento do Estado de São Paulo";http://www.agricultura.sp.gov.br/;2025-04-17;;;;;
ATIVO;SAC;"Solicitação de Ação Corretiva";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;SAF;"Sistema de Avaliação de Fornecedores";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;SAI;"Sistema de Administração da Intranet";"Grupo de Tecnologia da Informação (GTI)";2025-04-17;;;;;
ATIVO;SAMU;"Serviço de Atendimento Médico de Urgência.";www.saude.campinas.sp.gov.br;2025-04-17;;;;;
ATIVO;SAP;"Solicitação de Ação Preventiva ou de Melhoria";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;SAR;"Sistema de Acesso a Relatório e Avaliação de Serviço";"Estabelecido internamente pela Comissão de Gestão da Qualidade e Grupo de Tecnologia da Informação (GTI).";2025-04-17;;;;;
ATIVO;SC;"Fornecedor sem cadastro";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;SDI;"Sistema Dinâmico do Ital";"Grupo de Tecnologia da Informação (GTI)";2025-04-17;;;;;
ATIVO;SEI;"Sistema Eletrônico de Informações";"SÃO PAULO (Estado). Decreto ? 67.641, de 10 de abril de 2023. Dispõe sobre o uso de meio eletrônico para a formalização de processo administrativo no âmbito da Administração Pública estadual, institui o Sistema Eletrônico de Informações do Estado de São Paulo  SEI/SP e dá providências correlatas. Diário Oficial do Estado. Poder Executivo, São Paulo. 11 abr. 2023. Seção I, p. 01";2025-04-17;;;;;
ATIVO;Seiketsu;"Senso de saúde e higiene.";"RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.";2025-04-17;;;;;
ATIVO;Seiri;"Senso de utilização.";"RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.";2025-04-17;;;;;
ATIVO;Seiso;"Senso de limpeza.";"RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.";2025-04-17;;;;;
ATIVO;Seiton;"Senso de ordenação, organização e padronização.";"RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.";2025-04-17;;;;;
ATIVO;Serviço;"Saída  de uma organização, com pelo menos uma atividade necessariamente realizada entre a organização e o cliente.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;SGP;"Sistema de Gestão de Projetos";"Definição estabelecida pela APTA.";2025-04-17;;;;;
ATIVO;SGQ;"Sistema de Gestão da Qualidade: conjunto de elementos inter-relacionados ou interativos de uma organização para estabelecer políticas, objetivos e processos para alcançar esses objetivos com relação à qualidade.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;Shitsuke;"Senso de autodisciplina.";"RIBEIRO, H. A Bíblia do 5S, da implantação a excelência. Salvador: Casa da Qualidade, 2006. 280 p.";2025-04-17;;;;;
ATIVO;SI;"Sistema Internacional de Unidades";http://www.inmetro.gov.br/;2025-04-17;;;;;
ATIVO;SIAFÍSICO;"Sistema Integrado de Informações Físico-Financeira";https://www6.fazenda.sp.gov.br/;2025-04-17;;;;;
ATIVO;SIAPG;"Sistema Integrado de Administração da Pós-Graduação";"Grupo de Tecnologia da Informação (GTI)";2025-04-17;;;;;
ATIVO;SICAF;"Sistema de Cadastro de Fornecedores";https://www3.comprasnet.gov.br/sicaf-web/public/pages/consultas/consultarCRC.jsf;2025-04-17;;;;;
ATIVO;SIGA;"Sistema de Informações Gerenciais dos Agronegócios";"Definição estabelecida pela APTA.";2025-04-17;;;;;
ATIVO;SISMA;"Sistema Informatizado para Solicitação de Manutenção";"Estabelecido internamente pela DG.";2025-04-17;;;;;
ATIVO;"Sistema de gestão";"Conjunto de elementos inter-relacionados ou interativos de uma organização para estabelecer políticas, objetivos e processos para alcançar esses objetivos.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Sistema de gestão de medição";"Conjunto de elementos inter-relacionados e interativos, necessários para obter a comprovação metrológica e o controle  dos processos de medição.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Receitas INTRA";"Receitas decorrentes da prestação de serviços laboratoriais pelo Ital à Coordenadoria de Defesa Agropecuária (CDA), formalizadas por Termo de Referência (TR) e caracterizadas como operações internas entre órgãos da Administração Pública Estadual.";https://www.defesa.agricultura.sp.gov.br/;2026-06-11;;;;;
ATIVO;"Sistema ERP - Unidade";"Sistema desenvolvido especificamente para cada Unidade para gestão de processos internos. Exemplos: Sistema ERP Cetea, Sistema ERP CCQA, Sistema ERP Cereal Chocotec, Sistema ERP CTC etc.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Sistema ERP-Ital";"Sistema de informação desenvolvido para o Ital, contendo informações sobre recursos humanos, fornecedores e outros.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Socorristas;"Médicos, enfermeiros, auxiliares de enfermagem, ou pessoas devidamente treinadas e capacitadas para prestar os primeiros socorros às vítimas de acidentes.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;TCE;"Termo de Compromisso de Estágio";"Lei nº 11.788, de  25 de setembro de 2008.";2025-04-17;;;;;
