Status;Palavra_Sigla;Definicao;Referencia;Data_Atualizacao;Data_Agendamento;Responsavel_Agendamento;Data_Arquivamento;Responsavel_Arquivamento;Descricao_Historico
ATIVO;Backup;"Cópia de segurança de arquivos/documentos, para que esses possam ser restaurados em caso de perda dos dados originais.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;BEC;"Bolsa Eletrônica de Compras";www.bec.sp.gov.br;2025-04-17;;;;;
ATIVO;BIB;Biblioteca;"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;BJFT;"Brazilian Journal of Food Technology";http://bjft.ital.sp.gov.br/;2025-04-17;;;;;
ATIVO;CA;"Certificado de Aprovação";http://trabalho.gov.br/;2025-04-17;;;;;
ATIVO;CAA;"Centro de Atividades Administrativas. Equivalente à Divisão de Administração Integrada do Ital. ";"Definida pela Diretora Geral com base em: Decreto nº 69.664, de 29 de junho de 2025, Resolução SAA nº 41/2025, Decreto nº 66.530, de 25 de fevereiro de 2022 (Portaria Normativa nº 01/2022) e Decreto nº 66.417, de 30 de dezembro de 2021.";2026-06-11;;;;;
ATIVO;Cadri;"Certificado de Aprovação para Destinação de Resíduos Industriais, emitido pelo órgão ambiental regional CETESB.";http://www.cetesb.sp.gov.br;2025-04-17;;;;;
ATIVO;Cadterc;"Estudos técnicos de serviços terceirizados";www.bec.sp.gov.br;2025-04-17;;;;;
ATIVO;Caldeira;"Equipamento destinado a produzir e acumular vapor sob pressão superior à atmosférica, utilizando qualquer fonte de energia, projetado conforme códigos pertinentes, excetuando-se refervedores e similares.";"NR 13 - Norma Regulamentadora do Trabalho";2025-04-17;;;;;
ATIVO;Calibração;"Operação que estabelece, numa primeira etapa e sob condições especificadas, uma relação entre os valores e as incertezas de medição fornecidos por padrões e as indicações correspondentes com as incertezas associadas; numa segunda etapa, utiliza essa informação para estabelecer uma relação visando à obtenção de um resultado de medição a partir de uma indicação.";"VIM 2012 - item 2.39";2025-04-17;;;;;
ATIVO;Capes;"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";www.capes.gov.br;2025-04-17;;;;;
ATIVO;Cargo;"Título resultante de um agrupamento de tarefas, de mesma natureza e nível de complexidade, atribuídas a um ou mais funcionários da organização, de forma genérica.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;CAT;"Comunicado de Acidente de Trabalho.";https://portal.inss.gov.br;2025-04-17;;;;;
ATIVO;Caufesp;"Cadastro Único de Fornecedores do Estado de São Paulo";www.bec.sp.gov.br;2025-04-17;;;;;
ATIVO;CCD;"Centro de Ciência para o Desenvolvimento - Projeto colaborativo Fapesp de até cinco anos orientado a problemas específicos, de interesse social ou econômico do Estado de São Paulo, visando o avanço do conhecimento e a melhoria de políticas públicas, reunindo pesquisadores de universidades e instituições de pesquisa paulistas, gestores de órgãos do governo estadual e de municípios, além de empresas e organizações não governamentais (ONGs)";https://fapesp.br/16421/programa-centros-de-ciencia-para-o-desenvolvimento;2025-04-17;;;;;
ATIVO;"CCD Círcula";"Centro de Ciência para o Desenvolvimento Soluções para os Resíduos Pós-Consumo: Embalagens e Produtos - Projeto colaborativo Fapesp com a missão de desenvolver soluções inovadoras voltadas ao problema dos resíduos pós-consumo para reduzir ou eliminar o seu impacto negativo, com base nos princípios da economia circular e nos Objetivos de Desenvolvimento Sustentável.";https://bv.fapesp.br/pt/auxilios/110534/centro-de-ciencias-para-o-desenvolvimento-ccd-solucoes-para-os-residuos-pos-consumo-embalagens-e-pro/;2025-04-17;;;;;
ATIVO;CCQA;"Centro de Ciência e Qualidade dos Alimentos.";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;CD;"Conselho Técnico-Científico (Conselho Diretor).";"Decreto nº 52167 de 1969";2025-04-17;;;;;
ATIVO;Cepagri;"Centro de Pesquisas Meteorológicas e Climáticas Aplicadas a Agricultura";http://www.cepagri.unicamp.br/;2025-04-17;;;;;
ATIVO;"Cereal Chocotec";"Centro de Tecnologia de Cereais e Chocolate";"Decreto nº 46.488 de 8 de janeiro de 2002";2025-04-17;;;;;
ATIVO;"Certificação digital";"Mecanismo tecnológico para comprovação de autenticidade, confidencialidade e integridade das informações de determinado documento.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Cetea;"Centro de Tecnologia de Embalagem";"Decreto nº 46.488 de 8 de janeiro de 2002";2025-04-17;;;;;
ATIVO;Cetesb;"Companhia Ambiental do Estado de São Paulo";http://www.cetesb.sp.gov.br;2025-04-17;;;;;
ATIVO;CG;"Cromatógrafo Gasoso, também conhecido pela sigla em inglês GC";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Cgcre;"Coordenação Geral de Acreditação (Inmetro)";http://www.inmetro.gov.br/;2025-04-17;;;;;
ATIVO;CGQ;"Comissão de Gestão da Qualidade";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;Checagem;"Ação simples para confirmar operacionalidade de um equipamento.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Checagem intermediária";"Checagem efetuada entre as calibrações/verificações programadas, a intervalos de tempo definidos, segundo procedimento estabelecido, visando fornecer evidências sobre a manutenção ou não da conformidade de um Eime. Esses intervalos são normalmente menores do que o intervalo de calibração do Eime.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;CIC;"Comissão de Integridade Científica";"Portaria Ital nº22 de 03 de julho de 2017.";2025-04-17;;;;;
ATIVO;CID;"Código de Identificação de Doença.";www.cid10.com.br;2025-04-17;;;;;
ATIVO;CLAE;"Cromatógrafo Líquido de Alta Eficiência, também conhecido pela sigla em inglês HPLC";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Cliente;"Pessoa ou organização que poderia receber ou que recebe um produto ou um serviço destinado para, ou solicitado por, essa pessoa ou organização.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;CLT;"Consolidação das Leis do Trabalho (legislação trabalhista aplicada aos funcionários contratados).";"DECRETO-LEI N.º 5.452, DE 1º DE MAIO DE 1943";2025-04-17;;;;;
ATIVO;CND;"Certidäo Negativa de Débito";https://www.receita.fazenda.gov.br/;2025-04-17;;;;;
ATIVO;CNPq;"Conselho Nacional de Desenvolvimento Científico e Tecnológico";http://cnpq.br;2025-04-17;;;;;
ATIVO;"Coeficiente de determinação (r2)";"Este parâmetro permite uma estimativa da qualidade da curva obtida, pois quanto mais próximo de 1,0, menor a dispersão do conjunto de pontos experimentais e menor a incerteza dos coeficientes de regressão estimados.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Colaboradores;"Funcionários estatutários, funcionários contratados pela Fundação de Apoio e colaboradores especiais.";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;"Coleta seletiva";"Coleta de resíduos passíveis de reciclagem, devidamente segregados e identificados, tais como: vidro, plástico, metal e papel.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Combate a incêndio";"É o conjunto de ações táticas destinadas a extinguir ou isolar o incêndio com uso de equipamentos manuais ou automáticos.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;Comburente;"É qualquer gás que favorece a combustão; o mais comum é o oxigênio encontrado na atmosfera, numa concentração em torno de 21% em volume.";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;Combustível;"É tudo aquilo que pode queimar e que alimenta o fogo.  É encontrado em três formas: sólida (ex: madeira, borracha, metal), líquida (ex: álcool, éter, gasolina) e gasosa (ex: butano, propano).";http://www.corpodebombeiros.sp.gov.br/;2025-04-17;;;;;
ATIVO;Competência;"Capacidade de aplicar conhecimento e habilidades para alcançar resultados pretendidos.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Comprovação metrológica";"Conjunto de operações necessárias para assegurar que um EIME atende aos requisitos de seu uso pretendido.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;COMUT;"Comutação Bibliográfica";http://comut.ibict.br;2025-04-17;;;;;
ATIVO;"Condição de precisão intermediária";"Condição de medição num conjunto de condições, as quais compreendem o mesmo procedimento de medição, o mesmo local e medições repetidas no mesmo objeto ou em objetos similares, ao longo de um período extenso de tempo, mas pode incluir outras condições que envolvam mudanças.";"VIM 2012";2025-04-17;;;;;
