ATIVOS:
Documentos em vigor
Código	Nome		Categoria	Autor	Revisão	Vigor	Análise	Distribuição	Ações
FQ-06.24	Avaliação 5S - Frota		FQ	RA	8	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.25	Avaliação 5S - Laboratórios		FQ	RA	9	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.26	Avaliação 5S - Lavanderias		FQ	RA	7	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.27	Avaliação 5S - Oficinas		FQ	RA	8	21/10/25	-	Intranet RA-25 RA-56	   
FQ-06.28	Avaliação 5S - Almoxarifados		FQ	RA	8	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.29	Avaliação 5S - Plantas piloto		FQ	RA	7	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.30	Avaliação 5S - Salas de espera/Hall		FQ	RA	9	19/09/24	-	Intranet RA-25 RA-56	   
FQ-06.31	Avaliação 5S - Salas		FQ	RA	8	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.32	Avaliação 5S - Almoxarifados de reagentes		FQ	RA	10	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.33	Programa 5S - Avaliação da equipe		FQ	RA	3	16/08/17	-	Intranet RA-25 RA-56	   
FQ-06.34	Programa 5S - Feedback da Unidade Avaliada		FQ	RA	2	16/08/17	-	Intranet RA-25 RA-56	   
FQ-06.35	Inspeção dos extintores de incêndio		FQ	RA	1	06/04/23	-	Intranet RA-25 RA-56	   
FQ-06.36	Inspeção periódica de chuveiro e lavador de olhos		FQ	RA	1	06/04/23	-	Intranet RA-25 RA-56	   
FQ-06.37	Avaliação da eficácia do sistema de exaustão e iluminação de capelas de exaustão		FQ	RA	3	12/05/23	-	Intranet RA-25 RA-56	   
FQ-06.38	Relatório de avaliação de riscos		FQ	RA	5	13/05/25	-	Intranet RA-25 RA-56	   
FQ-06.39	Avaliação de segurança do trabalho		FQ	RA	9	12/06/25	-	Intranet RA-25 RA-56	   
FQ-06.40	Cadastro de Veículos		FQ	RA	7	09/04/26	-	Intranet RA-25 RA-56	   
FQ-06.41	Avaliação de palestra/treinamento interno		FQ	RA	1	20/08/21	-	Google Drive Intranet RA-25 RA-56	   
FQ-06.42	Tabulação de avaliações de palestra/treinamento interno		FQ	RA	1	08/10/21	-	Intranet RA-25 RA-56	   
FQ-06.43	Avaliação 5S - Pontos de coleta de lixo		FQ	RA	3	12/07/19	-	Intranet RA-25 RA-56	   
FQ-06.44	Programação de avaliação		FQ	RA	0	16/08/17	-	Intranet RA-25 RA-56	   
FQ-06.45	Informações complementares - Cadastro ERP - Ital		FQ	RA	3	18/11/22	-	Intranet RA-25 RA-56	   
FQ-06.47	Orientações para utilização de sistemas internos		FQ	RA	0	12/07/19	-	Intranet RA-25 RA-56	   
FQ-06.49	Descrição de vaga para contratação de estagiário via FA		FQ	RA	1	21/06/23	-	Intranet RA-25 RA-56	   
FQ-06.51	Descrição de Função		FQ	RA	0	10/03/20	-	Intranet RA-25 RA-56	   
FQ-06.52	Avaliação da aprendizagem - Jovem Aprendiz		FQ	RA	0	08/07/20	-	Intranet RA-25 RA-56	   
FQ-06.53	Notificação Cipa		FQ	RA	0	08/07/20	-	Intranet RA-25 RA-56	   
FQ-06.54	Programa		FQ	RA	1	23/08/23	-	Intranet RA-25 RA-56	   
FQ-06.55	Inscrições em palestras/treinamentos internos		FQ	RA	3	19/09/24	-	Google Drive Intranet RA-25 RA-56	   
FQ-06.56	Avaliação de Palestra/Treinamento Interno Remoto		FQ	RA	1	12/05/23	-	Intranet RA-25 RA-56	   
